text,created_at,retweet_count,favorite_count,is_retweet,id_str
"Today, I am putting the Kremlin and other foreign governments on notice: If elected president, I will direct my administration to impose substantial and lasting costs on those who interfere with American elections. https://t.co/s9rEY92TQK",2020-07-20 21:55:00,28029,111838,False,1285332404647784449
We're paying the price for this president's incompetence every single day. https://t.co/PUqyt83The,2020-07-20 21:10:00,12340,58297,False,1285321080039669763
"President Trump asked to see the COVID death chart. @RealDonaldTrump, here you go. https://t.co/45tYD2NXti",2020-07-20 19:17:00,27351,77630,False,1285292642859773952
"Every day it becomes clearer: We are in a battle for the soul of this nation. Who we are. What we believe. Who we want to be. It’s all at stake.

We have to vote Donald Trump out this November.",2020-07-20 18:15:00,25918,146069,False,1285277040153776128
"Imagine the future we can create with Donald Trump out of the White House. A future where we:

- Tackle the climate crisis
- Build a new American economy
- End our gun violence epidemic
- Ensure our government works for all, not just the wealthy few",2020-07-20 15:00:01,22834,122619,False,1285227969930072066
"In this moment of crisis, we have the chance to build a new American economy. One where everyone gets a fair return for their work and an equal chance to get ahead.

Together, we'll get it done.",2020-07-20 00:15:00,12858,73337,False,1285005248768217089
Every day is National Ice Cream Day in my book. https://t.co/R6WR0LNspS,2020-07-19 22:30:00,11333,124985,False,1284978824749309952
"Mr. President, your ignorance isn’t a virtue or a sign of your strength — it’s undercutting our response to this unprecedented crisis at every turn and it’s costing Americans their jobs and their lives. https://t.co/PXSNiGNa6w",2020-07-19 19:30:00,16707,67566,False,1284933527088365569
"The hard truth is that it didn’t have to be this bad, but Donald Trump ignored the experts and refused to take action. He has failed our nation. https://t.co/WAhigUtsxz",2020-07-19 18:07:00,42145,125256,False,1284912638577655808
"Now more than ever, we need a president who will choose hope over fear.",2020-07-19 16:11:00,23061,169815,False,1284883446251294722
"Banning the Confederate flag from military installations was long overdue. 

Banning the LGBTQ Pride flag — the very symbol of diversity and inclusion — is undeniably wrong. The Pentagon should ensure it is authorized, or as President, I will. 
 https://t.co/rvA4F2YcPS",2020-07-19 14:48:00,6099,30094,False,1284862558910865408
"I know of no man with more courage than John Lewis. He was a giant walking among us. When I saw him, I couldn’t help but think one thing: “I haven’t done enough.” May his life and legacy inspire every one of us to strive for justice, equality and what is right. https://t.co/jtoCnmjexz",2020-07-18 14:58:00,34996,155108,False,1284502687430479874
My full statement: https://t.co/TVZsGzalO4,2020-07-18 14:15:58,8790,42112,False,1284492110503317504
"We are made in the image of God, and then there is John Lewis. He was truly one-of-a-kind, a moral compass who always knew where to point us and which direction to march. To John’s family, friends, staff, and constituents, Jill and I send you our love and prayers.",2020-07-18 14:15:58,27311,171669,False,1284492109496619009
"As President, I will see to it that America once again stands for human rights. That doesn't mean rights only for some, but rights for all — each and every American, and every person, everywhere. No exceptions. https://t.co/fxULEFsp3O",2020-07-18 00:00:00,8282,36819,False,1284276699337646080
"Today, we lost a giant of the civil rights movement and a relentless champion in the struggle for justice. Reverend C.T. Vivian never stopped pushing our nation closer to our highest ideals — and we are better because of it. Jill and I are keeping his loved ones in our prayers. https://t.co/TPBuR6t2rU",2020-07-17 22:50:00,4160,21041,False,1284259082254217216
"Eleven. That's how many times we've broken the single-day record for new COVID-19 cases in the last month.

This virus isn't going to ""just disappear"" like President Trump wants. It's surging — and we need real leadership from this White House to slow its spread.",2020-07-17 21:50:00,22160,105400,False,1284243982747414529
"I’ve released 21 years of my tax returns — why hasn’t Donald Trump?

We deserve to know what this president is hiding.",2020-07-17 19:40:00,41221,232712,False,1284211267108868097
Everyone wants our schools to reopen. The question is how to make it safe and how to make it stick. Forcing educators and students back into classrooms in areas where infection rates are going up or remaining too high is just plain dangerous. https://t.co/8OeTj2eWdt,2020-07-17 18:16:00,12855,48358,False,1284190127896629248
"We have to make the places we live, work, and learn healthier and more energy-efficient. That's why my administration will upgrade 4 million buildings and weatherize 2 million homes across the country — creating over one million jobs in the process. https://t.co/JpXThuFg2d",2020-07-17 17:15:00,3883,15485,False,1284174776861372417
"No matter who you supported in 2016, I want you to know that you have a home in our campaign. You’re not just wanted — you’re needed.

Together, we're going to beat Donald Trump and build this nation back better than it was before. https://t.co/z7Vk9mRrgI",2020-07-17 15:08:00,6626,24435,False,1284142816197836807
We have the power to write the future we want for our country. Don't let anyone tell you differently.,2020-07-17 01:20:00,12974,76659,False,1283934443057577984
President Obama and I left a playbook for President Trump on how to fight pandemics. He flat-out ignored it. And we're all paying the price every day.,2020-07-17 00:15:00,60572,317650,False,1283918085288652800
"From day one, Donald Trump has been focused on the stock market and delivering for his wealthy friends and big corporations.

As president, I will be laser-focused on working families and small businesses. https://t.co/3gFMqw4nk6",2020-07-16 23:30:00,9083,25572,False,1283906760865005569
"Let's call this what it is: A modern-day poll tax. It's unconscionable.

We need to restore voting rights for individuals formerly incarcerated for felonies — and ensure everyone can make their voice heard at the ballot box. https://t.co/teNXMFx4mF",2020-07-16 21:08:00,9701,37913,False,1283871025197748224
