text,created_at,retweet_count,favorite_count,is_retweet,id_str
"Every moment with your loved ones is precious. I know that in my core because I’ve learned it through loss. It's why as president, I'm going to do everything I can to get this virus under control and get our lives back to normal as soon as we can. https://t.co/qCsvryHMai",2020-08-06 22:05:00,5983,20293,False,1291495515180285952
Let me be clear: Voting is a right — not a privilege. Anyone who tells you otherwise can’t be trusted to hold the highest office in this land.,2020-08-06 20:25:00,28294,165851,False,1291470348928475136
"The fight for civil rights is what drove me to get involved in politics in the first place. It's why I fought for and helped secure a 25-year extension of the Voting Rights Act. And it's why as president, I'll immediately sign the John R. Lewis Voting Rights Act into law. https://t.co/fHqUvYahRR",2020-08-06 18:45:00,5883,18074,False,1291445184635387904
"55 years ago today, the Voting Rights Act was signed into law — bringing us one step closer to that more perfect union. As we mark its anniversary, we’ve got to continue our fight to restore the VRA and protect the sacred right to vote.",2020-08-06 17:02:00,9702,49633,False,1291419262788263938
The scenes of death and destruction from Hiroshima and Nagasaki still horrify us 75 years later. They reach through history to remind us of the hideous damage nuclear weapons can inflict—and our collective responsibility to ensure they're never again used. https://t.co/357jRzBPeL,2020-08-06 16:24:00,4034,17643,False,1291409699393482753
"If I'm elected president, our students and educators will have all the tools and resources they need to succeed and get through COVID-19. https://t.co/ul9vTTcT40",2020-08-06 13:45:00,6575,26789,False,1291369685821186048
"Donald Trump promised to bring back jobs, but his policies crushed the manufacturing sector—and that was true even before COVID-19.

I’ll revitalize American manufacturing and innovation and create millions of good-paying jobs so we can build back better. https://t.co/HrOOkWWQof",2020-08-06 00:40:00,4505,17204,False,1291172134341840896
"Growing up in Scranton, I learned the importance of hard work, treating others with dignity and respect, and leaving no one behind. Those values have guided my entire life — and they're the values I'll bring back to the White House. https://t.co/aelfrxaISg",2020-08-05 23:45:00,4914,17898,False,1291158292786544643
"Folks, a lot of you have been asking when I’m announcing my running mate, and I promise I’ll let you know soon. But here’s what I can tell you right now: I’m going to tell my supporters first — so text FIRST to 30330 to be the first to know.",2020-08-05 23:00:00,10607,71303,False,1291146968136323073
"I don’t buy for one second that the vitality of American manufacturing is a thing of the past. As president, I'll make bold investments in American manufacturing, industry, and innovation to make sure the future is made in America — by all of America. https://t.co/LkIi8g6M5i",2020-08-05 22:30:00,2616,10543,False,1291139418732937217
There's been a lot of talk about my vetting process lately. Here’s an inside look: https://t.co/tFRKJOE3hi,2020-08-05 20:40:00,25608,117920,False,1291111736167211008
"Weapons of war have no place in our communities. When I was a senator, I took on the @NRA and secured a 10-year ban on assault weapons — and as president, I’ll ban these weapons again. https://t.co/ggqSaj40EJ",2020-08-05 19:15:00,10124,51211,False,1291090345103679494
"Eight years ago, a white supremacist targeted a Sikh temple in Oak Creek, WI — ultimately taking seven lives in an unspeakable act of terror. To truly honor those we lost, it's up to all of us to stand up to bigotry in our lives, give hate no safe harbor, and reduce gun violence.",2020-08-05 18:15:00,11724,61110,False,1291075245751832576
"I truly believe that we can revitalize American manufacturing and create a better economy at the same time. I want to build an economy that brings everyone along — one that works for the middle class, not just the wealthy and well-connected. https://t.co/3fYbFfsvDb",2020-08-05 16:03:00,6349,20648,False,1291042027212140546
"The truth of the matter is, Donald Trump inherited a growing economy from President Obama and me. And just like everything else he inherited in his life, he squandered it. https://t.co/EPxDx4ecoU",2020-08-05 13:10:00,38567,128321,False,1290998489975885826
"From day one, Donald Trump downplayed the threat COVID-19 posed, ignored scientists, and refused to take action. 

Now, nearly 5 million cases and more than 150,000 deaths later, it's crystal clear we're paying the price for his failed leadership.",2020-08-05 00:50:00,17420,81900,False,1290812262744305665
"On day one, I’ll send a bill to Congress creating a clear roadmap to citizenship for Dreamers and the 11 million undocumented people already strengthening our nation. It’s long overdue. https://t.co/ajO7uUb9po",2020-08-04 23:30:00,5466,25753,False,1290792130345082880
"Our hearts and prayers are with the people of Lebanon, and the victims of the horrific explosion in Beirut. I urge both the Trump Administration and international community to immediately mobilize assistance to the thousands injured in the blast.",2020-08-04 22:40:00,17670,116060,False,1290779547072253955
"Thousands of Americans are dying every week. The President's response?

""It is what it is."" https://t.co/GT59hr14kb",2020-08-04 21:12:00,44402,117586,False,1290757401243602944
"I’ll get to work on day one enacting the changes needed to help the Latino community thrive.

Read my full plan here: https://t.co/SaL4WaFkEA https://t.co/vhwTRcwHlO",2020-08-04 20:41:00,2921,11153,False,1290749599775260672
"Happy birthday to my brother and friend, @BarackObama! Serving alongside you for eight years was the greatest honor of my life — and I'm grateful to have you by my side for these next 91 days. https://t.co/qLl42Im40C",2020-08-04 18:50:00,20196,164575,False,1290721665836388352
"We can’t just build back to the way things were before these crises. We have to build a more inclusive, equitable future for all.

Here’s how we’ll do it: https://t.co/SaL4WanJN2 https://t.co/IeMtNqBynx",2020-08-04 18:18:00,2204,9012,False,1290713612630228992
"The Latino community is bearing disproportionate harm from this pandemic. But even before, many Latino families were already struggling. We've got to do better. That's why today, I'm releasing my new agenda for the Latino community: https://t.co/xgGUoleGQO",2020-08-04 15:46:00,4921,16621,False,1290675360682500096
"As president, I’ll take on the powerful gun lobby to pass universal background checks, ban assault weapons and high-capacity magazines, and close loopholes to keep guns out of dangerous hands. We can and will end our gun violence epidemic.",2020-08-04 15:25:26,4496,30668,False,1290670187482624006
"One year ago, just hours after the massacre in El Paso, nine precious lives were cut short in Dayton. In the wake of the tragedies, Donald Trump promised the most modest of gun safety policies, then caved to the @NRA and failed to deliver.",2020-08-04 15:25:26,8173,39166,False,1290670186794815491
